outcome,outcome_label,horizon,shock_type,shock_label,coefficient,se,ci_lower,ci_upper
gini_core,Gini coefficient - core consumption,18,sh_rr,Quarterly Frequency,.0053253697969685,.0037756075226168,-.0020748209473604,.0127255605412974
gini_core,Gini coefficient - core consumption,19,sh_rr,Quarterly Frequency,.0105980125190092,.0045717711225185,.0016373411188729,.0195586839191455
gini_core,Gini coefficient - core consumption,20,sh_rr,Quarterly Frequency,.0129897748899116,.0026212263995258,.007852171146841,.0181273786329822
gini_fincbtax,Gini coefficient - income before taxes,0,sh_rr,Quarterly Frequency,.0006482570618176,.0026718476447258,-.004588564321845,.0058850784454802
gini_fincbtax,Gini coefficient - income before taxes,1,sh_rr,Quarterly Frequency,.0028395500073151,.0036728282475319,-.0043591933578474,.0100382933724776
gini_fincbtax,Gini coefficient - income before taxes,2,sh_rr,Quarterly Frequency,.0063996606302667,.0041238514358075,-.001683088183916,.0144824094444494
gini_fincbtax,Gini coefficient - income before taxes,3,sh_rr,Quarterly Frequency,.00558026023797,.0052372919568809,-.0046848319975166,.0158453524734566
gini_fincbtax,Gini coefficient - income before taxes,4,sh_rr,Quarterly Frequency,-.0007040524902701,.0064802456446146,-.0134053339537147,.0119972289731745
gini_fincbtax,Gini coefficient - income before taxes,5,sh_rr,Quarterly Frequency,.0042399321778243,.0072824797535692,-.0100337281391713,.0185135924948199
gini_fincbtax,Gini coefficient - income before taxes,6,sh_rr,Quarterly Frequency,.0005648573065759,.0066009568191806,-.0123730180590181,.0135027326721699
gini_fincbtax,Gini coefficient - income before taxes,7,sh_rr,Quarterly Frequency,-.0105509406857416,.0057253926235094,-.02177271022782,.0006708288563368
gini_fincbtax,Gini coefficient - income before taxes,8,sh_rr,Quarterly Frequency,-.0046777997088606,.0089261931404091,-.0221731382640624,.0128175388463412
gini_fincbtax,Gini coefficient - income before taxes,9,sh_rr,Quarterly Frequency,.0008558907640726,.011019635474794,-.0207425947665236,.0224543762946688
gini_fincbtax,Gini coefficient - income before taxes,10,sh_rr,Quarterly Frequency,.0041090008925629,.0092188085161494,-.0139598637990899,.0221778655842157
gini_fincbtax,Gini coefficient - income before taxes,11,sh_rr,Quarterly Frequency,.0143995364779425,.0100063796699046,-.0052129676750705,.0340120406309555
gini_fincbtax,Gini coefficient - income before taxes,12,sh_rr,Quarterly Frequency,.0133834146035502,.0091600728716465,-.0045703282248769,.0313371574319773
gini_fincbtax,Gini coefficient - income before taxes,13,sh_rr,Quarterly Frequency,.0079589185481864,.0053856315134675,-.0025969192182099,.0185147563145827
gini_fincbtax,Gini coefficient - income before taxes,14,sh_rr,Quarterly Frequency,.0120332650256224,.0033981193281458,.0053729511424566,.0186935789087882
gini_fincbtax,Gini coefficient - income before taxes,15,sh_rr,Quarterly Frequency,.0024163219311659,.0064545249612529,-.0102345469928898,.0150671908552216
gini_fincbtax,Gini coefficient - income before taxes,16,sh_rr,Quarterly Frequency,-.0028104959195815,.0065327728614162,-.0156147307279573,.0099937388887943
gini_fincbtax,Gini coefficient - income before taxes,17,sh_rr,Quarterly Frequency,.0074165059408456,.0057496499524132,-.0038528079658843,.0186858198475755
gini_fincbtax,Gini coefficient - income before taxes,18,sh_rr,Quarterly Frequency,.0048513063702806,.0042597775779629,-.0034978576825267,.0132004704230879
gini_fincbtax,Gini coefficient - income before taxes,19,sh_rr,Quarterly Frequency,.0029618943997467,.0043052970489416,-.0054764878161788,.0114002766156722
gini_fincbtax,Gini coefficient - income before taxes,20,sh_rr,Quarterly Frequency,.0066599788550763,.0036500168044471,-.00049405408164,.0138140117917926
gini_fsalaryx,Gini coefficient - salary income,0,sh_rr,Quarterly Frequency,-.0033850947423782,.0027034269182626,-.0086838115021729,.0019136220174165
gini_fsalaryx,Gini coefficient - salary income,1,sh_rr,Quarterly Frequency,-.0034913809290076,.0030306089081591,-.0094313743889994,.0024486125309842
gini_fsalaryx,Gini coefficient - salary income,2,sh_rr,Quarterly Frequency,.000611544418805,.0025334726164354,-.0043540619094084,.0055771507470184
gini_fsalaryx,Gini coefficient - salary income,3,sh_rr,Quarterly Frequency,-.0027286030713163,.0029729900881386,-.008555663644068,.0030984575014354
